Sai kha ya her kisi kay bus ki bat nhi hai lakin main ki hal kal bi Aj aur aj bi sirf Aus say bus,Non-Bully,
sahi bt h,Non-Bully,
"Kya bt hai,",Non-Bully,
Wah je wah,Non-Bully,
Are wha kaya bat hai,Non-Bully,
Wah kya baat likhi,Non-Bully,
Wha Itni sari khubiya,Non-Bully,
Itni khubiya,Non-Bully,
Ya allah rehm farma hm sab pe or zalimo ko hidayat de ameen,Non-Bully,
Please Everyone AllAh S.w.T ka naam hAmesha Bary Lawzo main Likha kary Wo he Zaat sUb say Bari Hey,Non-Bully,
Ya mere rab tu bra kreem hy is mulk k halat PR reham frma. Is watn.e.Aziz ki hifazat frma.amin,Non-Bully,
jaago Pakistani coom jaago ye humary nokar han humarey tex se inko tankha milti h or ye hum pakitani awam ko hi martey han jaago Pakistan key logo,Non-Bully,
kia kia jae .kon sacha ha ALLAH JANY .PAK KESE BDL SAKTA HA I THINK 7 NSL TO ASE E GUZR JAIN GI BD ME koi hua to pta ni,Non-Bully,
afsos hota hai garip insan kha jay Allah ki lati me awaz hai jo zulum kry ga Allah ki lati pary gi,Non-Bully,
Allah insaaf karey,Non-Bully,
ALLAH MUSALMAN PHIR DOR E JAHALAT ME JARAHA H HIYADAY FARMA AESE LOGO KO JO AWAM KI ZINDGIYO KO AZAB BANA RAHY HAI INKO TO GARAK KARDY,Non-Bully,
Je Thik Kaha Right,Non-Bully,
jee ye to he,Non-Bully,
Maa cheez e ASE ha jis ka koi namil Badl Ni,Non-Bully,
Wah wah yeh toh hy,Non-Bully,
jee ye to he,Non-Bully,
Zenda bad yar,Non-Bully,
Es leay Muskurany ki koshish kia karo Es se wo loug ju apk Rouny pr muskuraty hain wo Loug phir apki hansi pe jalyn gy.,Non-Bully,
Wha bhut qoob,Non-Bully,
"right
Or sada time same nahi rehtaaaaaa",Non-Bully,
Wha wha kaya bat hai,Non-Bully,
Bohat khoob so true Alhamdulillah,Non-Bully,
dil me khud aaka ho nala jm hai akbaal sjdo me pde rahna rahne se jnnat nahi milee yhi likha hai bahi,Non-Bully,
Sjdo me bhi wo hi pda he jis k dil me khuda ka Dr he .,Non-Bully,
Beshaq haq baat hai,Non-Bully,
Right ha but bar bar ak hi insan q berdash karea yr ye sub batamize kerne wala bhi to samjhea,Non-Bully,
Right mara jasa masom log,Non-Bully,
MashaAllah.,Non-Bully,
Mubarak,Non-Bully,
Ma hun Hero tara <3,Non-Bully,
Feel kar speed bot ki <3,Non-Bully,
"Isy Kahty han hop hip hop <3

:* Powered By :* Abraham Tamim :*",Non-Bully,
Great Aadmi Aadmi,Non-Bully,
In England Attaullah Esakhelvi married with a Pakistani ethnography British lady,Non-Bully,
He has one son with her,Non-Bully,
"He got second marriage with Bazgha, she is famous manuscript actress and they have only daughter named Laraib and only son named Sanwal",Non-Bully,
He received honorable award from the Government of Pakistan and Life time achievement award from the queen of England,Non-Bully,
He entered in Guinness book of World record for the singer of most recorded albums,Non-Bully,
"Attaullah Esakhelvi ka shumar un gine chune artists mein kiya jata hai, jin ki maqboliyat, mutarrif hone se le kar shohrat ke urooj tak pohanchne tak radio, TV ya film ke marhoon e minnat nahi hai",Non-Bully,
Agarcha aise artists mein Munni Begum aur Aziz Miyan qawaal ka naam bhi shamil hai,Non-Bully,
Lekin top of the list Attaullah Esakhelvi ka naam he samjha jata hai,Non-Bully,
"Jin ki ibtedai zindagi aur urooj ki daastan qabil e rashk bhi hai, dilchasp bhi aur kar hawalon se qabil e taqleed bhi",Non-Bully,
In mein mauseeqi ka shauq paida hua to inho ne gungunana shuru kar diya,Non-Bully,
Jab school teachers ne in ki awaaz suni to Mukesh aur Rafi ke songs ki farmaiysh karne lage aur hausla afzaai karne ke sath sath yeh dars bhi dete rehte ke singing na chorna,Non-Bully,
Wohi un ki infaradiyat bana,Non-Bully,
"Yahin qismat ki devi un par meharban hui aur “ Rehmat Gramophone House ” naami aik company ne un ke songs ki recording ki… “ Udhar Zindagi Ka Janaza Uthega ” aur Saraiki geet “ Naki Jae Gal Tu Rus Naa Ae Dhola ” ( Choti si baat par naraz ho jate ho maahi ), jab market mein aae to jaise hulchul mach gai",Non-Bully,
Har taraf ataullah Niazi ki singing ka charcha hone laga,Non-Bully,
Lekin us daur ke mustand singers ne unhe be surr iqraar de kar mustarid kar diya,Non-Bully,
Radio aur TV jo maand parhte sitaron ki kafalat he nahi bal ke ubharte hue artists ke hausla afzaai ki riwayaat bhi rakhte hain,Non-Bully,
"Lekin dosri taraf village, dehaat, qasbon, buses, wagons aur chae khano mein Attaullah Esakhelvi ki awaaz ka tota bol raha tha",Non-Bully,
Taweel musafat ke liye buses ka ticket lene wale pehle yeh istafsaar bhi karte ke Attaullah Esakhelvi ki cassette lagaoge ?Mianwali ke logon ne inhe bataya ke tumhare naam se Esakhel mein hotel khul gae hain,Non-Bully,
"Jagah jagah tumhari taswirein lagi hain aur Mianwali mein sirf tumhari cassette he farokht hoti hai, to Attaullah Esakhelvi ne phir Esakhel jane ka qasd kiya",Non-Bully,
Phir yeh hua ke radio Pakistan ke farmaishi naghmon ke programs mein 90 % log Attaullah Esakhelvi ke songs ki farmaiysh karte,Non-Bully,
